City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,ouesso,1.6136,16.0517,30.5,64,99,1.76,CG,1698061761
342,port augusta,-32.5,137.7667,23.55,14,46,9.52,AU,1698061761
343,alo,7.4178,6.7371,30.67,67,99,2.15,NG,1698061762
344,ust'-ordynskiy,52.805,104.7508,4.29,71,4,2.83,RU,1698061763
345,zhangatas,43.5667,69.75,10.03,49,90,2.68,KZ,1698061763
346,nova vicosa,-17.8919,-39.3719,26.11,61,68,3.6,BR,1698061764
347,suntar,62.1444,117.6319,-2.4,90,98,3.63,RU,1698061764
348,umm kaddadah,13.6017,26.6876,35.45,13,2,4.99,SD,1698061765
349,lindisfarne,-42.8333,147.35,12.78,87,20,3.09,AU,1698061766
350,egilsstadir,65.2653,-14.3948,3.95,93,100,3.09,IS,1698061766
351,muriti,-1.9833,32.9167,26.2,56,98,4.89,TZ,1698061767
352,guiuan,11.0333,125.7247,29.09,73,44,4.04,PH,1698061709
353,sangin,32.0728,64.8359,27.41,11,0,2.89,AF,1698061768
354,yigo village,13.5361,144.8886,27.62,89,40,7.72,GU,1698061769
355,san carlos,9.6612,-68.5827,24.07,94,98,1.21,VE,1698061770
356,ishigaki,24.3448,124.1572,25.07,73,40,4.63,JP,1698061771
357,port-vila,-17.7338,168.3219,23.78,94,100,6.17,VU,1698061772
358,sao jose da coroa grande,-8.8978,-35.1478,27.41,59,43,5.11,BR,1698061773
359,gembu,6.7,11.2667,23.49,67,100,2.05,NG,1698061773
360,ashgabat,37.95,58.3833,22.92,46,40,3.09,TM,1698061774
361,kerikeri,-35.2268,173.9474,14.95,90,93,2.63,NZ,1698061775
362,geraldton,-28.7667,114.6,17.23,67,1,7.2,AU,1698061775
363,shendi,16.6915,33.4341,38.0,21,2,2.07,SD,1698061776
